"","analysisId","nctId","pValue","statisticalMethod","studyType","EARLY_PHASE1","PHASE1","PHASE2","PHASE3","PHASE4","outcomeTitle","outcomeType","groupDescription","conditionIds","briefTitle","has_less_than","N","model","I","R","C","JAB"
"11","00dff307c271f65d9e080c41bcfe6591","NCT01219959",0.029,"ANOVA","INTERVENTIONAL",0,0,0,1,0,"Change From Baseline of Nutritional Status Determined by Albumin and Total Protein (Labs) at Month 3 and 6","SECONDARY","Estimate of Least Square Means Comparing Treatment Groups for Albumin-Month 6","D007676","Dianeal, Extraneal, Nutrineal (D-E-N) Versus Dianeal Only in Diabetic Continuous Ambulatory Peritoneal Dialysis (CAPD) Patients",FALSE,251,"anova",2,NA,NA,1.47464458060979
"12","00ef12715d23258b506781f6cc97e174","NCT02528253",0.03,"Logistic regression","INTERVENTIONAL",0,0,0,1,0,"Number of Participants Who Responded for Chronic Low Back Pain Responder Index at Weeks 2, 4, 8, 16, 24, 32, 40, 48 and 56","SECONDARY","Week 2: OR and 95% CI estimated from logistic regression model. Logistic regression model included treatment as fixed effect and baseline average LBPI, baseline PGA, and baseline RMDQ as covariates.","D001416; D017116","A Phase 3 Study of Tanezumab for Chronic Low Back Pain",FALSE,1009,"logistic_regression",NA,NA,NA,3.0223812983612
"13","00fe50cdb725fc49ef264f1684e0f1f4","NCT01245439",0.048,"Wilcoxon","INTERVENTIONAL",0,0,0,1,0,"Mean Number of Tender and Swollen Joints","SECONDARY","Change in Swollen Joints from Visit 7 to Visit 8","D001168; D001172","A Study of RoActemra/Actemra (Tocilizumab) in Patients With Moderate to Severe Rheumatoid Arthritis",FALSE,65,"wilcoxon",NA,NA,NA,1.1761865868564
"14","01039b760aa9a4f5e97da02d5f732f01","NCT00443872",0.05,"Mann-Whitney","INTERVENTIONAL",0,0,0,0,1,"Beck Depression Inventory for All Subjects","SECONDARY",NA,"D010300","Efficacy of Orally Disintegrating Selegiline in Parkinson's Patients Experiencing Adverse Effects With Dopamine Agonists",FALSE,60,"mann_whitney",NA,NA,NA,1.17169922891753
"15","010ae36fac752441c8fb52130fab79b1","NCT05893862",0.0282,"Two-sample t-test","INTERVENTIONAL",0,1,0,0,0,"Change From Baseline in QT Interval Corrected for Heart Rate (QTc) Following Moxifloxacin Treatment","SECONDARY",NA,"D012559","A Study To Evaluate The Effect Of A Supratherapeutic Dose Of MK-8189 On The QTc Interval In Participants With Schizophrenia (MK-8189-019)",FALSE,168,"t-test",NA,NA,NA,1.18342806774251
"16","011bcefd17641cf871ca64734cab72e6","NCT01092663",0.05,"Two-sample t-test","INTERVENTIONAL",0,0,0,0,0,"Fasting Plamsa Glucagon","SECONDARY","Difference in treatment effect between the 2 groups","D003920; D003924","The Effects of Co-admin of Colesevelam and Sitagliptin on Glucose Metabolism in Subjects With Type 2 Diabetes Mellitus",FALSE,50,"t-test",NA,NA,NA,1.07648023860356
"17","011d72e608817eff8f8beb417f187a35","NCT03279458",0.05,"Linear regression","INTERVENTIONAL",0,0,0,0,0,"Tidal Volume of Each Breath Was Measured Using the Same Breathing Mask CPAP Apparatus Combined With Respiratory Monitoring Device Allowing for Simultaneous Recording.","PRIMARY",NA,NA,"Non-invasive Tidal Volume Monitoring Using the Linshom Respiratory Monitoring Device",TRUE,60,"linear_regression",NA,NA,NA,1.17169922891753
"18","012616c24811584ede671489139063a6","NCT00408876",0.044,"Two-sample t-test","INTERVENTIONAL",0,0,0,1,0,"Change From Baseline to Week 13 Endpoint in Vital Signs - Pulse Rate","SECONDARY",NA,"D001416; D017116","Duloxetine Versus Placebo in Chronic Low Back Pain",FALSE,166,"t-test",NA,NA,NA,1.71588941288951
"19","0137e396a3fa7c160156bbd227f90ff5","NCT01049373",0.0465,"Mann-Whitney","INTERVENTIONAL",0,0,0,1,0,"Change in Pain Score (SES), Subscale ""Sensoric Pain""","SECONDARY",NA,"D001416; D017116","Efficacy and Safety of Lymphdiaral Basistropfen (HDC) in the Treatment of Chronic Low-back Pain",FALSE,185,"mann_whitney",NA,NA,NA,1.89495545737712
"20","0139466486b0cddf00bb52c76f24a7d4","NCT00663923",0.05,"Two-sample t-test","INTERVENTIONAL",0,0,0,1,0,"Correction of Astigmatism","PRIMARY",NA,"D001251","Comparison of Cross-cylinder and Conventional Photorefractive Keratectomy(PRK) in Correcting Medium-high Astigmatism",TRUE,96,"t-test",NA,NA,NA,1.46440978390488
"21","0140151d169e1dd8f9fe8e245c6277cc","NCT00245219",0.05,"Linear regression","INTERVENTIONAL",0,0,0,0,0,"Perceived Physical Health (as Measured With the SF36) at Baseline, Time 2 (2 Weeks Post-intervention) and Time 3 (6 Months Post-intervention)","PRIMARY","The comparison between the peer support condition and control condition at Time 3, among both late and early stage patients. The full regression model consisted of 3 steps: The 1st step contained the baseline measure of the dependent variable. The 2nd step contained two dummy coded variables contrasting each condition with control. The 3rd step contained the interaction between the peer support condition and cancer stage. Patients in the education condition were excluded from this analysis.","D001943","Understanding Shared Psychobiological Pathways",FALSE,147,"linear_regression",NA,NA,NA,1.79957957739554
"22","0141f77f24e593b6edaf1138228ab488","NCT00475904",0.0441,"ANOVA","INTERVENTIONAL",0,0,1,0,0,"Change in Pain Scores Comparing NP-1 Cream vs. Placebo Cream for Treatment of the Pain of Post Herpetic Neuralgia(PHN)From Baseline to 28 Days.","PRIMARY","In the initial analysis, the efficacy of the test treatment NP-1 cream was compared with placebo using an analysis of variance (ANOVA). The analysis was conducted using the ITT population to compare the mean changes in pain scores from baseline to endpoint for the 2 treatments; the LOCF approach was employed for patients who did not complete the trial.","D009437; D051474","A Comparison of EpiCept™ NP-1 Topical Cream vs. Oral Gabapentin in Postherpetic Neuralgia (PHN)",FALSE,211,"anova",2,NA,NA,1.93318366859218
"23","014d4247c570575faad9bda39c300a2d","NCT04833777",0.05,"Mann-Whitney","INTERVENTIONAL",0,0,0,0,0,"Post-operative Pain","PRIMARY",NA,"D002349","Does a Different Local Anesthetic Improve Pain After Carpal Tunnel Release?",TRUE,139,"mann_whitney",NA,NA,NA,1.75124288073831
"24","015bd20d4a1846498beba5e9d029ffc2","NCT04172701",0.0103,"Two-sample t-test","OBSERVATIONAL",0,0,0,0,0,"Adjusted All-cause Costs: Hospitalization Costs (Per Person Per Month)","SECONDARY",NA,"D029424","A Study in South Korea Using Medical Records to Look at Different Treatments for Chronic Obstructive Airway Disease (COPD)",FALSE,4888,"t-test",NA,NA,NA,2.60338427775782
"25","01613b31745a34b62c0eff1c23b9adae","NCT00070707",0.038,"ANOVA","INTERVENTIONAL",0,0,0,0,1,"Change From Baseline in AM and PM Chest Tightness Symptom Score","SECONDARY","Change at Week 1 (AM)","D012220; D001249; D006255; D065631","Nasonex Compared With Placebo in Participants With Seasonal Allergic Rhinitis (SAR) and Concomitant Asthma (P03280)",FALSE,187,"anova",2,NA,NA,1.60729714845832
"26","01741ad1eaf35a97721faf806cf057d0","NCT03597464",0.045,"Logistic regression","INTERVENTIONAL",0,0,0,1,0,"Renal Flare as Adjudicated by the Clinical Endpoints Committee (CEC).","SECONDARY","Number of subjects with adequate renal response. This model is based on a logistic regression with terms for treatment, baseline urine protein creatinine ratio (UPCR), biopsy class, mycophenolate mofetil (MMF) use at baseline and region. An odds ratio \< unity indicates benefit for voclosporin.","D009393; D008181","Aurinia Renal Assessments 2: Aurinia Renal Response in Lupus With Voclosporin",FALSE,216,"logistic_regression",NA,NA,NA,1.98897982111762
"27","01889f4df66de4f3b6e7e2ecc7f3eedb","NCT02303704",0.05,"Two-sample t-test","INTERVENTIONAL",0,0,1,0,0,"Pharmacologic Inotropic Support (Adrenaline)","SECONDARY",NA,NA,"Myocardial Protection With Multiport Antegrade Cold Blood Cardioplegia",TRUE,434,"t-test",NA,NA,NA,3.06552394865376
"28","018a91adce533ac19d7220fbe05bf66c","NCT00150969",0.05,"Two-sample t-test","INTERVENTIONAL",0,0,0,1,0,"Percent Change in Bone Mineral Density (BMD) at the Total Hip Between Treatment Arms.","PRIMARY",NA,"D010024; D001851; D015663","Vitamin K Supplementation in Post-Menopausal Osteopenia",TRUE,440,"t-test",NA,NA,NA,3.08645519783843
"29","018b6e55bd0bf5b7c5ddd47af1a6365a","NCT02697422",0.05,"Linear regression","INTERVENTIONAL",0,0,0,0,0,"Low Density Lipoprotein Cholesterol (LDL-c).","SECONDARY",NA,"D002318; D006949","Veteran Peer Coaches Optimizing and Advancing Cardiac Health",FALSE,264,"linear_regression",NA,NA,NA,2.39772562409599
"30","01a6ae05b082fcf6fcf50191fe8b8642","NCT01014910",0.05,"Mann-Whitney","INTERVENTIONAL",0,0,0,0,0,"Length of Stay in the Hospital","PRIMARY","Differences in LOS were compared between study arms using the Mann-Whitney U-test and the Kaplan-Meier method. Statistical analyses were performed using Stata version 13.1 for Windows (StataCorp). All patients enrolled in the study, including those who subsequently had consent for the intervention withdrawn, were included for analysis (intention to treat).","D001988; D000860","Intermittent Versus Continuous Pulse Oximetry Monitoring of Infants Admitted for Bronchiolitis",TRUE,161,"mann_whitney",NA,NA,NA,1.88118663862499
"31","01bb6a3c4be819748c85c9b0de4ad075","NCT02481596",0.024,"Linear regression","INTERVENTIONAL",0,0,0,0,0,"Supportive Family Behaviors","SECONDARY","3 months. Multiply imputed data (m=20) using chained equations.","D003920; D003924","FAMS Mobile Health Intervention for Diabetes Self-care Support",FALSE,379,"linear_regression",NA,NA,NA,1.53445158002198
"32","01c17cfeb723adf3fdc12dc75238acbb","NCT03064113",0.048,"Two-sample t-test","INTERVENTIONAL",0,0,1,0,0,"Peak Expiratory Flow Rate (PEFR) From 25% to 75% of Vital Capacity (FEF25-75), as Related to FEV1","SECONDARY","Tx Difference of LS Mean 24 hr","D008171; D008173; D029424","Effects of TD-4208 on FEV1 in Subjects With Chronic Obstructive Pulmonary Disease (COPD)",FALSE,64,"t-test",NA,NA,NA,1.16765253868256
"33","01e5960d67c236101d62224a3936aef7","NCT00174915",0.05,"Mann-Whitney","INTERVENTIONAL",0,0,0,1,0,"Change in the Total Number of Tophi at Week 28 in the Subset of Subjects With Palpable Tophi at the Screening Visit.","SECONDARY",NA,"D006073","Phase 3, Febuxostat, Allopurinol and Placebo-Controlled Study in Gout Subjects.",FALSE,60,"mann_whitney",NA,NA,NA,1.17169922891753
"34","01f74e6f302db5eb4fd00cd2b47b11f9","NCT00234104",0.0459,"Two-sample t-test","INTERVENTIONAL",0,0,1,0,0,"Body Weight","PRIMARY",NA,"D006333; D004487","A Dose-finding Study of OPC-41061 in Treatment of Cardiac Edema (Congestive Heart Failure)",FALSE,61,"t-test",NA,NA,NA,1.10017879043895
"35","0213d492acef588a1d989886ad5d84eb","NCT04076020",0.05,"Logistic regression","INTERVENTIONAL",0,0,0,0,0,"Self-reported Adherence","PRIMARY","Difference in self-reported adherence reported across baseline, 4-, 8-, and 12-month visits using generalized estimating equations and adjusted for trial stratification factors.","D001281; D006331; D001145; D010335","Atrial Fibrillation Health Literacy and Information Technology Trial in Rural Pennsylvania Counties",TRUE,270,"logistic_regression",NA,NA,NA,2.42442742178718
"36","02157a7c5c0636a6da8e758670c73f4c","NCT01060059",0.026,"Logistic regression","OBSERVATIONAL",0,0,0,0,0,"Factor of Greater Height Associated With Treatment Choice at Baseline","SECONDARY","Logistic regression analysis was used to determine if greater height (1 cm higher) was associated with treatment choice at baseline. Odds ratios were determined and if the odds ratio was greater than 1, it indicated it is more likely to initiate exenatide treatment. Covariates with more than 30% observations missing were omitted in this analysis. Missing values for remaining numeric covariates were replaced with means, and for categorical ones - with modes.","D003920; D003924","Exenatide and Basal Insulins Use in the Real Setting: an Observational Study in Patients With Type 2 Diabetes",FALSE,881,"logistic_regression",NA,NA,NA,2.49760460754097
"37","0215fc87c4bd5f51d2d96d2e16c48d18","NCT00212134",0.05,"Two-sample t-test","INTERVENTIONAL",0,0,0,0,0,"Parenting Stress","SECONDARY","ITT comparison of mean PSI scores","D002386; D001035","Infant Aphakia Treatment Study (IATS)",FALSE,81,"t-test",NA,NA,NA,1.3501394396673
"38","023027062f27b089cc4da77e7994316c","NCT03676465",0.05,"Two-sample t-test","INTERVENTIONAL",0,0,0,0,0,"Mean Glucose by CGM","SECONDARY",NA,"D003920; D003922; D002908","CloudConnect: Predictive And Retrospective Clinical Decision Support For Chronic Disease Management",FALSE,43,"t-test",NA,NA,NA,1.00454908915455
"39","02344a2d86149b66a0f4bb556c05f915","NCT01910116",0.05,"Mann-Whitney","INTERVENTIONAL",0,0,1,1,0,"AUSCAN Function Change at 16 Weeks From Baseline","SECONDARY",NA,"D010003","Efficacy of Shinabro in Hand Osteoarthritis",FALSE,215,"mann_whitney",NA,NA,NA,2.1673890251257
"40","0242664aa7af594ba23b3415b25126b0","NCT01092663",0.05,"Two-sample t-test","INTERVENTIONAL",0,0,0,0,0,"Fasting Glycogenolysis","PRIMARY","Difference in treatment effect between groups was evaluated","D003920; D003924","The Effects of Co-admin of Colesevelam and Sitagliptin on Glucose Metabolism in Subjects With Type 2 Diabetes Mellitus",FALSE,50,"t-test",NA,NA,NA,1.07648023860356
"41","02508db05bc9a1dff41c52238dbb6b3f","NCT00951912",0.05,"ANOVA","INTERVENTIONAL",0,0,0,0,0,"Percentage Change in HbA1C","PRIMARY",NA,"D003924","The Effects of Soy Isoflavones to Improve the Metabolism of Glucose and Lipids",TRUE,109,"anova",2,NA,NA,1.55669642807029
"42","025663f58347aad8c73945b4e156bc1f","NCT00105989",0.05,"Two-sample t-test","INTERVENTIONAL",0,0,0,1,0,"Change From Baseline to Endpoint in Arizona Sexual Experience Scale (ASEX) - Acute and Continuation Phases (Females)","SECONDARY",NA,"D012008; D003866; D003863; D003865","Duloxetine Versus Placebo in the Prevention of Recurrence of Major Depressive Disorder",FALSE,286,"t-test",NA,NA,NA,2.49423565648373
"43","028f8681fc49134a2d9a0a3b5944c333","NCT00433290",0.042,"ANOVA","INTERVENTIONAL",0,0,0,1,0,"Statisically Significant Change From Baseline to 13 Week Endpoint in Chloride","SECONDARY",NA,"D010003; D020370","Duloxetine vs. Placebo in the Treatment of Osteoarthritis Knee Pain",FALSE,246,"anova",2,NA,NA,2.0006428538477
"44","029199510479bb57a4c67e23b9ccc6da","NCT02528253",0.0101,"Logistic regression","INTERVENTIONAL",0,0,0,1,0,"Percentage of Participants Achieving Average LBPI Reduction of >=30 Percent(%), >=50%, >=70% and >=90% From Baseline at Weeks 2, 4, 8, 12, 16, 24, 32, 40, 48 and 56: Mixed Baseline Observation Carried Forward (BOCF)/Last Observation Carried Forward (LOCF)","SECONDARY","Week 16, \>=50%: OR and 95% CI estimated from logistic regression model. Logistic regression model included baseline average LBPI and treatment.","D001416; D017116","A Phase 3 Study of Tanezumab for Chronic Low Back Pain",FALSE,810,"logistic_regression",NA,NA,NA,1.04499808857622
"45","02cc05fa0df7844558083059adf822fa","NCT04445792",0.0119,"Mann-Whitney","INTERVENTIONAL",0,0,0,0,0,"Sleep Disturbance as Measured by PROMIS (Patient-Reported Outcomes Measurement Information System)","SECONDARY",NA,"D059350; D059787; D003863; D003866","A Depression and Opioid Pragmatic Trial in Pharmacogenetics (DCRI Coordinating Center)",FALSE,1112,"mann_whitney",NA,NA,NA,1.41474353449606
"46","02d0a24f5769f31c6dd22bb85731edca","NCT01134783",0.049,"Logistic regression","INTERVENTIONAL",0,0,0,0,0,"Prevalence of Overweight/Obese","SECONDARY",NA,NA,"Choosing Healthy Options in College Environments and Settings",FALSE,179,"logistic_regression",NA,NA,NA,1.94807427189901
"47","02d0a2960472a30543990df94d608d4e","NCT01131299",0.04,"Two-sample t-test","INTERVENTIONAL",0,0,1,0,0,"Small LDL Particle Number (by NMR Spectrometry of Lipoproteins) After 12-14 Weeks Intervention, Compared to Baseline for Alpha-cyclodextrin (a-CD) and Placebo Groups After 12-14 Weeks, Compared to Baseline","SECONDARY",NA,"D002318","Evaluation of Oral Alpha-Cyclodextrin for Decreasing Serum Cholesterol",FALSE,150,"t-test",NA,NA,NA,1.5074733457683
"48","02fffd264db23cc01def0cdb0b0ebafd","NCT03726489",0.048,"Linear regression","INTERVENTIONAL",0,0,0,0,0,"Physician Global Assessment Times Body Surface Area (PGAxBSA)","SECONDARY","Overall analysis adjusted for all skin phototypes","D011565","Light Treatment Effectiveness (LITE) Study",FALSE,472,"linear_regression",NA,NA,NA,3.088354660063
"49","0304161403521e9920d7b2728c92025c","NCT02037776",0.038,"Mann-Whitney","INTERVENTIONAL",0,0,0,0,1,"Patient's Evaluation of Symptomatic Improvement by Overall Treatment Efficacy (OTE)","PRIMARY","Comparison between groups in Rikkunshito Placebo and Rikkunshito, based on the count of participants categorized in 1 (Significantly improved) through 7 (Much worse), using the Wilcoxon (Mann-Whitney).","D004415","The Efficacy and Safety Study of Rikkunshito in Patients With Functional Dyspepsia",FALSE,125,"mann_whitney",NA,NA,NA,1.32163006558525
"50","030ea8badce454e5b62f6659a64ac8ea","NCT03773978",0.03,"Logistic regression","INTERVENTIONAL",0,0,0,1,0,"Percentage of Participants Achieving PedACR90 Responder Index","SECONDARY","at week 20","D001168; D001171","A Study of Baricitinib in Participants From 2 Years to Less Than 18 Years Old With Juvenile Idiopathic Arthritis",FALSE,163,"logistic_regression",NA,NA,NA,1.22958247273945
"51","0340c411fd4b6d9354231212bc487c2a","NCT01270958",0.05,"Two-sample t-test","INTERVENTIONAL",0,0,0,0,1,"Alkaline Phosphatase Value at Baseline and After Treatment Completion","PRIMARY",NA,"D012220; D065631; D012221","A Phase-IV, Open-label Study to Evaluate Safety/Tolerability of Once-daily AVAMYS (TM) Aqueous Nasal Spray 110mcg Among Vietnamese Adult Patients With Established Perennial Allergic Rhinitis",FALSE,56,"t-test",NA,NA,NA,1.13456029943022
"52","0376c51af402155ce928d000d41d3aa5","NCT02559609",0.024,"Mann-Whitney","INTERVENTIONAL",0,0,0,0,0,"Longest Duration of Alcohol Abstinence (Days) (Physiological Measure)","SECONDARY","Group A/C (contrast -1) compared to Group B/D (contrast 1) to test Aim 1.",NA,"Interventions for Unemployed Hazardous Drinkers",FALSE,234,"mann_whitney",NA,NA,NA,1.21073826660967
"53","03a1f58c7d84e9a2501b04dcbdb453b2","NCT01138124",0.0337,"Conditional logistic regression","OBSERVATIONAL",0,0,0,0,0,"Number of Pancreatic Cancer Cases and Matched Controls With the Indicated Cumulative Dose of Gabapentin","PRIMARY",NA,"D010190; D002292; D007680; D010386; D010195; D050500; D012148","Gabapentin and Risk of Pancreatic Cancer and Renal Cancer (GPRD)",FALSE,30026,"logistic_regression",NA,NA,NA,18.1751377246872
"54","03ae94ccfb4d2207885f191051b32932","NCT00245219",0.05,"Logistic regression","INTERVENTIONAL",0,0,0,0,0,"Depressive Symptoms (as Measured With the CES-D) at Baseline, Time 2 (2 Weeks Post-intervention) and Time 3 (6 Months Post-intervention)","PRIMARY","The comparison between the education condition and the control condition at Time 3. The full regression model included 2 dummy coded variables, 1 contrasting the education and control condition, and 1 contrasting the peer support and control condition. The baseline measure of the outcome variable was included, in order to examine changes in the outcomes over time. This model tested the main effects of the conditions among patients with early stage cancer, late stage patients were excluded.","D001943","Understanding Shared Psychobiological Pathways",FALSE,131,"logistic_regression",NA,NA,NA,1.70153588988359
"55","03b87fa3a9cfac3f4d3a028c047b1210","NCT02572401",0.05,"Linear regression","INTERVENTIONAL",0,0,0,0,0,"Proportion Condom-protected Intercourse","SECONDARY","The primary analysis tested the efficacy of the HIV risk reduction intervention by comparing the HIV Risk Reduction Only and HIV Risk Reduction and Text Messaging Arms to the Text Messaging Only and No-Intervention No Text Message Control Arms. This is a test of the main effect of the HIV risk reduction intervention.","D000163; D015658; D012749; D007153","Steering Together in a New Direction: Reducing the Risk of HIV/STD Among African American Men",TRUE,268,"linear_regression",NA,NA,NA,2.41555960484265
"56","03ce9a18b303380e14c571babb4ccea0","NCT00256750",0.0276,"ANOVA","INTERVENTIONAL",0,0,0,1,0,"Mean Value of the Eight Domain Scores of Quality of Life Using SF-36 Questionnaire","SECONDARY","Physical Functioning, Month 24","D051437; D007676","Belatacept Evaluation of Nephroprotection and Efficacy as First-line Immunosuppression (BENEFIT)",FALSE,424,"anova",2,NA,NA,1.82969463226566
"57","03d486eaf1bf050dc3d5ece28b2eca9c","NCT00684060",0.05,"Two-sample t-test","INTERVENTIONAL",0,0,1,0,0,"Regional Left Ventricular Function (Border Zone Wall Motion)","PRIMARY","Comparison of change in border zone wall motion in the active group minus change in global LVEF in the control group. 80 percent power based on BOOST results","D018754; D018487","Use of Adult Autologous Stem Cells in Treating People 2 to 3 Weeks After Having a Heart Attack (The Late TIME Study)",TRUE,76,"t-test",NA,NA,NA,1.30984657914153
"58","03db1b4cc38680ec345c1d7f8bdc603d","NCT00116584",0.05,"Mann-Whitney","INTERVENTIONAL",0,0,0,1,0,"Change in Modified Wood's Clinical Bronchiolitis Score (MWCBS) Between Oxygen and Heliox Groups at Various Times","SECONDARY",NA,"D001988","Heliox-Driven Racemic Epinephrine in Treatment of Bronchiolitis in Pediatric ED Patients",TRUE,69,"mann_whitney",NA,NA,NA,1.25127183253256
"59","03f4ae1b35f0678e43f82a2de2fe4f40","NCT00256750",0.016,"ANOVA","INTERVENTIONAL",0,0,0,1,0,"Mean Value of the Eight Domain Scores of Quality of Life Using SF-36 Questionnaire","SECONDARY","Vitality, Month 12","D051437; D007676","Belatacept Evaluation of Nephroprotection and Efficacy as First-line Immunosuppression (BENEFIT)",FALSE,424,"anova",2,NA,NA,1.13913896833781
"60","0408fcde3db4476aa0a5c9a8de0c70a6","NCT00386425",0.047,"Two-sample t-test","INTERVENTIONAL",0,0,1,0,0,"Mean Change in Protein C Level From Study Day 1 to Study Day 7 in Patients With Moderate and Severe Protein C Deficiency","SECONDARY",NA,"D018805; D014115","Evaluate Protein C Levels in Severe Sepsis Patients on Drotrecogin Alfa (Activated)",FALSE,433,"t-test",NA,NA,NA,2.90731649600765
"61","040be5f878727960b42ee3b6f299f564","NCT02347787",0.04,"Logistic regression","INTERVENTIONAL",0,0,0,0,0,"Number of Participants With 30 Day Hospital Readmissions","SECONDARY",NA,"D002908; D014029","A Multi-center Trial of IMPaCT CHW Support for Chronically-ill Patients",FALSE,176,"logistic_regression",NA,NA,NA,1.62951484633317
"62","041422c5443cbebb2b90d48b767293f5","NCT03687762",0.05,"ANOVA","INTERVENTIONAL",0,0,0,0,0,"Change in Pain Intensity (Macro-level)","SECONDARY",NA,"D059350","Back on Track to Healthy Living Study",FALSE,302,"anova",3,NA,NA,1.03237942189705
"63","041f7693a1d591c1fd1aff5a479b2d50","NCT00105989",0.035,"ANOVA","INTERVENTIONAL",0,0,0,1,0,"Statistically Significant Laboratory Measurements - Change From Baseline to Endpoint in Alanine Aminotransferase (ALT) - Maintenance Phase","SECONDARY",NA,"D012008; D003866; D003863; D003865","Duloxetine Versus Placebo in the Prevention of Recurrence of Major Depressive Disorder",FALSE,276,"anova",2,NA,NA,1.81423831177251
